"mie","miename"
"https://identifiers.org/aop.events/2252","Human leukocyte antigen DQ2/8-gluten complexes, formation"
"https://identifiers.org/aop.events/2253","Gluten-reactive T cell receptors, generation"
"https://identifiers.org/aop.events/2254","Gluten-reactive and transglutaminase 2 reactive B cell receptors, generation"
"https://identifiers.org/aop.events/1002","Inhibition, Deiodinase 2"
"https://identifiers.org/aop.events/1002","Inhibition, Deiodinase 2"
"https://identifiers.org/aop.events/1002","Inhibition, Deiodinase 2"
"https://identifiers.org/aop.events/1009","Inhibition, Deiodinase 1"
"https://identifiers.org/aop.events/1009","Inhibition, Deiodinase 1"
"https://identifiers.org/aop.events/1009","Inhibition, Deiodinase 1"
"https://identifiers.org/aop.events/1046","Suppression, Estrogen receptor (ER) activity"
"https://identifiers.org/aop.events/105","Inhibition, Mitochondrial Electron Transport Chain Complexes"
"https://identifiers.org/aop.events/105","Inhibition, Mitochondrial Electron Transport Chain Complexes"
"https://identifiers.org/aop.events/105","Inhibition, Mitochondrial Electron Transport Chain Complexes"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/1115","Increase, Reactive oxygen species"
"https://identifiers.org/aop.events/112","Antagonism, Estrogen receptor"
"https://identifiers.org/aop.events/112","Antagonism, Estrogen receptor"
"https://identifiers.org/aop.events/122","Activation, Glucocorticoid Receptor"
"https://identifiers.org/aop.events/122","Activation, Glucocorticoid Receptor"
"https://identifiers.org/aop.events/122","Activation, Glucocorticoid Receptor"
"https://identifiers.org/aop.events/122","Activation, Glucocorticoid Receptor"
"https://identifiers.org/aop.events/1252","Binding to (interferes with) topoisomerase II enzyme"
"https://identifiers.org/aop.events/1391","Activation of Cyp2E1"
"https://identifiers.org/aop.events/1392","Oxidative Stress"
"https://identifiers.org/aop.events/1392","Oxidative Stress"
"https://identifiers.org/aop.events/1392","Oxidative Stress"
"https://identifiers.org/aop.events/1446","Decrease, Coupling of oxidative phosphorylation"
"https://identifiers.org/aop.events/1446","Decrease, Coupling of oxidative phosphorylation"
"https://identifiers.org/aop.events/1446","Decrease, Coupling of oxidative phosphorylation"
"https://identifiers.org/aop.events/1446","Decrease, Coupling of oxidative phosphorylation"
"https://identifiers.org/aop.events/1446","Decrease, Coupling of oxidative phosphorylation"
"https://identifiers.org/aop.events/1446","Decrease, Coupling of oxidative phosphorylation"
"https://identifiers.org/aop.events/1487","Binding, Thiol/seleno-proteins involved in protection against oxidative stress"
"https://identifiers.org/aop.events/1487","Binding, Thiol/seleno-proteins involved in protection against oxidative stress"
"https://identifiers.org/aop.events/1495","Substance interaction with the lung resident cell membrane components"
"https://identifiers.org/aop.events/1495","Substance interaction with the lung resident cell membrane components"
"https://identifiers.org/aop.events/1495","Substance interaction with the lung resident cell membrane components"
"https://identifiers.org/aop.events/1502","Histone deacetylase inhibition"
"https://identifiers.org/aop.events/1502","Histone deacetylase inhibition"
"https://identifiers.org/aop.events/1502","Histone deacetylase inhibition"
"https://identifiers.org/aop.events/1508","CYP2E1 Activation"
"https://identifiers.org/aop.events/1522","Inhibition, Chitin synthase 1"
"https://identifiers.org/aop.events/1522","Inhibition, Chitin synthase 1"
"https://identifiers.org/aop.events/1542","Increase, Mitochondrial complex III antagonism"
"https://identifiers.org/aop.events/1542","Increase, Mitochondrial complex III antagonism"
"https://identifiers.org/aop.events/1542","Increase, Mitochondrial complex III antagonism"
"https://identifiers.org/aop.events/1543","Mitochondrial Complex IV inhibition"
"https://identifiers.org/aop.events/1544","Mitochondrial Complex V inhibition"
"https://identifiers.org/aop.events/1574","Inhibition, IKK complex"
"https://identifiers.org/aop.events/1602","Increased Muscarinic Acetylcholine Receptors"
"https://identifiers.org/aop.events/1604","Inhibition of N-linked glycosylation"
"https://identifiers.org/aop.events/1614","Decrease, androgen receptor activation"
"https://identifiers.org/aop.events/1632","Increase in reactive oxygen and nitrogen species (RONS)"
"https://identifiers.org/aop.events/1632","Increase in reactive oxygen and nitrogen species (RONS)"
"https://identifiers.org/aop.events/1634","Increase, Oxidative DNA damage"
"https://identifiers.org/aop.events/1647","GSK3beta inactivation"
"https://identifiers.org/aop.events/165","Activation, Long term AHR receptor driven direct and indirect gene expression changes"
"https://identifiers.org/aop.events/1656","Antagonism, Thyroid Receptor"
"https://identifiers.org/aop.events/1656","Antagonism, Thyroid Receptor"
"https://identifiers.org/aop.events/167","Activation, LXR"
"https://identifiers.org/aop.events/167","Activation, LXR"
"https://identifiers.org/aop.events/167","Activation, LXR"
"https://identifiers.org/aop.events/1672","Inhibition of lung surfactant function"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
"https://identifiers.org/aop.events/1686","Deposition of Energy"
